"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este test valida que el catálogo de SauceDemo renderice correctamente los productos disponibles","2459","test_mocking_inventario_vip[chromium]","","2026-07-14","passed","2026-07-14","","test_api_mocking","",""
"","199","test_login_fallido_credenciales_invalidas[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","0","test_verificar_insercion_en_base_de_datos","","2026-07-14","passed","2026-07-14","","test_database","",""
"","23","test_crear_nuevo_post","","2026-07-14","passed","2026-07-14","","test_api_post","",""
"","26","test_actualizar_post_con_put","","2026-07-14","passed","2026-07-14","","test_api_crud","",""
"","5","test_login_exitoso[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","24","test_eliminar_post_con_delete","","2026-07-14","passed","2026-07-14","","test_api_crud","",""
"","169","test_flujo_completo_checkout[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","363","test_consultar_post_por_id","","2026-07-14","passed","2026-07-14","","test_api","",""
"","49","test_agregar_producto_al_carrito[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
