"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este test valida que el catálogo de SauceDemo renderice correctamente los productos disponibles","2381","test_mocking_inventario_vip[chromium]","","2026-07-14","passed","2026-07-14","","test_api_mocking","",""
"","53","test_actualizar_post_con_put","","2026-07-14","passed","2026-07-14","","test_api_crud","",""
"","22","test_eliminar_post_con_delete","","2026-07-14","passed","2026-07-14","","test_api_crud","",""
"","47","test_agregar_producto_al_carrito[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","0","test_verificar_insercion_en_base_de_datos","","2026-07-14","passed","2026-07-14","","test_database","",""
"","7","test_login_exitoso[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","188","test_flujo_completo_checkout[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","202","test_login_fallido_credenciales_invalidas[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","22","test_crear_nuevo_post","","2026-07-14","passed","2026-07-14","","test_api_post","",""
"","394","test_consultar_post_por_id","","2026-07-14","passed","2026-07-14","","test_api","",""
