"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","test_actualizar_post_con_put","","2026-07-14","passed","2026-07-14","","test_api_crud","",""
"Este test valida que el catálogo de SauceDemo renderice correctamente los productos disponibles","2431","test_mocking_inventario_vip[chromium]","","2026-07-14","passed","2026-07-14","","test_api_mocking","",""
"","189","test_flujo_completo_checkout[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","6","test_login_exitoso[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","1","test_verificar_insercion_en_base_de_datos","","2026-07-14","passed","2026-07-14","","test_database","",""
"","352","test_consultar_post_por_id","","2026-07-14","passed","2026-07-14","","test_api","",""
"","238","test_login_fallido_credenciales_invalidas[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","46","test_agregar_producto_al_carrito[chromium]","","2026-07-14","passed","2026-07-14","","test_login","",""
"","89","test_crear_nuevo_post","","2026-07-14","passed","2026-07-14","","test_api_post","",""
"","87","test_eliminar_post_con_delete","","2026-07-14","passed","2026-07-14","","test_api_crud","",""
